filename,spp,n_obs,n_exp_si,obsvexp
e_aloca.csv,Alouatta_caraya,5,6,1.2
e_alouattaguariba.csv,Alouatta_guariba,5,6,1.2
e_atege.csv,Ateles_geoffroyi,15,30,2
e_bonobos2.csv,Pan_paniscus,10,38,3.8
e_calja.csv,Callithrix_jacchus,8,37,4.625
e_cappedlang2.csv,Trachypithecus_pileatus,5,6,1.2
e_cebap.csv,Cebus_apella,12,17,1.416666667
e_cebca.csv,Cebus_capucinus,6,8,1.333333333
e_cerae.csv,Cercopithecus_aethiops,8,10,1.25
e_cerca.csv,Cercopithecus_campbelli,15,37,2.466666667
e_cermi.csv,Cercopithecus_mitis,16,36,2.25
e_chimps2.csv,Pan_troglodytes,7,9,1.285714286
e_colgu.csv,Colobus_guereza,8,12,1.5
e_eulemur2.csv,Petterus_fulvus,11,14,1.272727273
e_fuscata2.csv,Macaca_fuscata,14,49,3.5
e_fuscata3.csv,Macaca_fuscata,7,10,1.428571429
e_hanumanlang2.csv,Semnopithecus_entellus,6,7,1.166666667
e_lemca.csv,Lemur_catta,12,14,1.166666667
e_macar.csv,Macaca_arctoides,19,26,1.368421053
e_macas.csv,Macaca_assamensis,19,30,1.578947368
e_macfa.csv,Macaca_fascicularis,10,17,1.7
e_macfu.csv,Macaca_fuscata,21,70,3.333333333
e_macmu.csv,Macaca_mulatta,16,30,1.875
e_macra.csv,Macaca_radiata,16,21,1.3125
e_macto.csv,Macaca_tonkeana,25,31,1.24
e_miota.csv,Miopithecus_talapoin,8,10,1.25
e_mulatta2.csv,Macaca_mulatta,28,29,1.035714286
e_panpa.csv,Pan_paniscus,19,45,2.368421053
e_papioursinus.csv,Papio_ursinus,14,20,1.428571429
e_pappa.csv,Papio_papio,25,54,2.16
e_papur.csv,Papio_ursinus,8,19,2.375
e_proboscis2.csv,Nasalis_larvartus,6,8,1.333333333
e_sagfu.csv,Saguinus_fuscicollis,7,9,1.285714286
e_saguinusmystax.csv,Saguinus_mystax,6,8,1.333333333
e_saisc.csv,Saimiri_sciureus,9,21,2.333333333
e_thege.csv,Theropithecus_gelada,7,13,1.857142857
e_trachypithecusjohnii.csv,Trachypithecus_johnii,10,24,2.4
